period,demand,pv_prod,bought,sold,charge,discharge,soc
155,0.30415625,0.30415625,0.0,0.0,0.0,0.0,8.370053940320609
156,0.05715625,0.05715625,0.0,0.0,0.0,0.0,8.368379929532541
157,0.05615625,0.05615625,0.0,0.0,0.0,0.0,8.36670625354664
158,0.05785625,0.05785625,0.0,0.0,0.0,0.0,8.365032912295931
159,0.05715625,0.05715625,0.0,0.0,0.0,0.0,8.36335990571347
160,0.05545625,0.05545625,0.0,0.0,0.0,0.0,8.361687233732329
161,0.05415625,0.05415625,0.0,0.0,0.0,0.0,8.36001489628558
162,0.05195625,0.05195625,0.0,0.0,0.0,0.0,8.358342893306331
163,0.05365625,0.05365625,0.0,0.0,0.0,0.0,8.35667122472767
164,0.05465625,0.05465625,0.0,0.0,0.0,0.0,8.35499989048272
165,0.05545625,0.0,0.05545625,0.0,0.0,0.0,8.353328890504629
166,0.05345625,0.0,0.05345625,0.0,0.0,0.0,8.351658224726529
167,0.05495625,0.0,0.05495625,0.0,0.0,0.0,8.349987893081581
168,0.04315625,0.0,0.04315625,0.0,0.0,0.0,8.348317895502969
169,0.04415625,0.0,0.04415625,0.0,0.0,0.0,8.34664823192387
170,0.04465625,0.0,0.04465625,0.0,0.0,0.0,8.344978902277489
171,0.04385625,0.0,0.04385625,0.0,0.0,0.0,8.34330990649703
172,0.04335625,0.0,0.04335625,0.0,0.0,0.0,8.34164124451573
173,0.04495625,0.0,0.04495625,0.0,0.0,0.0,8.339972916266831
174,0.04335625,0.0,0.04335625,0.0,0.0,0.0,8.33830492168358
175,0.04365625,0.0,0.04365625,0.0,0.0,0.0,8.33663726069924
176,0.04285625,0.0,0.04285625,0.0,0.0,0.0,8.3349699332471
177,0.04285625,0.0,0.04285625,0.0,0.0,0.0,8.333302939260459
178,0.04715625,0.0,0.04715625,0.0,0.0,0.0,8.331636278672599
179,0.04615625,0.0,0.04615625,0.0,0.0,0.0,8.329969951416871
180,0.06215625,0.0,0.06215625,0.0,0.0,0.0,8.32830395742659
181,0.05995625,0.0,0.05995625,0.0,0.0,0.0,8.3266382966351
182,0.06295624999999999,0.0,0.06295625000000001,0.0,0.0,0.0,8.32497296897578
183,0.06215625,0.0,0.06215625,0.0,0.0,0.0,8.323307974381979
184,0.06045625,0.0,0.06045625,0.0,0.0,0.0,8.32164331278711
185,0.22085625,0.0,0.22085625,0.0,0.0,0.0,8.31997898412455
186,0.28985625,0.0,0.28985625,0.0,0.0,0.0,8.31831498832773
187,0.28965625,0.0,0.28965625,0.0,0.0,0.0,8.31665132533006
188,0.28785625,0.0,0.28785625,0.0,0.0,0.0,8.314987995065
189,0.29065625,0.0,0.29065625,0.0,0.0,0.0,8.31332499746599
190,0.24985625,0.0,0.24985625,0.0,0.0,0.0,8.31166233246649
191,0.24765625,0.0,0.24765625,0.0,0.0,0.0,8.31
