dir,filename,enc,param,experiment,hof_best,duration_s,total_nevals,n_generations
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f1-4,f1,,4,1.5349097034747232,1265.2062661647797,27747.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f1-5,f1,,5,1.7988797243036476,1352.814618587494,27694.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f1-6,f1,,6,1.654813197010813,1321.3770380020142,27647.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f1-7,f1,,7,2.085528053605624,1210.7343542575836,27739.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f1-8,f1,,8,1.5874140185994017,1350.7304155826569,27747.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f1-9,f1,,9,1.1928190249510389,1260.610771894455,27669.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-0,f4,,0,1.9204337213344727,1505.6260623931885,27734.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-1,f4,,1,2.4444305742259678,1420.7168214321136,27704.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-2,f4,,2,1.8666826064180324,1409.5663015842438,27734.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-3,f4,,3,1.9051805413952712,1321.6368663311005,27645.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-4,f4,,4,1.954013753367855,1339.9057025909424,27721.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-5,f4,,5,1.3585685896389872,1317.6049745082855,27731.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-6,f4,,6,1.6080262909452274,1399.0181868076324,27604.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-7,f4,,7,1.8536238509486958,1318.397249698639,27757.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-8,f4,,8,1.7882505558190152,1367.4068520069122,27700.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f4-9,f4,,9,1.9359658559408635,1422.5172443389893,27731.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-0,f9,,0,0.9619692375444645,1186.051111459732,27643.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-1,f9,,1,0.9619692375444645,1184.7720556259155,27673.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-2,f9,,2,0.9234528686190239,1204.1283905506134,27754.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-3,f9,,3,1.0715797152092683,1229.3859465122223,27679.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-4,f9,,4,1.0705338877697748,1265.6796247959137,27638.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-5,f9,,5,0.964594088663543,1201.4849970340729,27767.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-6,f9,,6,0.8864770100352589,1213.5065977573395,27730.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-7,f9,,7,0.9321801348091038,1244.462727546692,27707.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-8,f9,,8,0.8290169318413751,1131.5812103748322,27782.0,301
assignments\Assignment 4 - EA with different genome encodings\stats\fitness = vertpos or 0.0003 numparts,HoF-f9-9,f9,,9,1.06968460126238,1129.4994344711304,27780.0,301
